tweet,date,Agent,Role
"and now i want brimstone in my garden
i want roses set on fire",2021-09-29 22:30:50,Brimstone,Controller
why half of the brimstone players are literally born with NO BRAIN,2021-09-29 22:14:44,Brimstone,Controller
@DavidLevy101 @Meloniemaher1 That fucker gets the fire and brimstone version of hell. https://t.co/JyytSDGkQe,2021-09-29 22:07:50,Brimstone,Controller
"They also did these cute lil' ghosts! 

Robot ghosts are a fun concept to think on

Also Omen is practically already a ghost, so like here he's a *ghost-ghost*

Store Link: https://t.co/KqlNCfhwHF

#omen #brimstone #kayo https://t.co/KDOVUdjlLG",2021-09-29 22:01:21,Brimstone,Controller
@AuthorDelaneyW @mis_cue @C_Stroop That is not true. There are some “fire and brimstone “churches. I do not believe that that is the way Christianity is to be taught because that is not the way the Bible said it is to be taught. If the Bible says it’s wrong to teach that way then it is wrong.,2021-09-29 21:57:18,Brimstone,Controller
@HolyLarss @TaigaGN @SkrrtyR6 @Shxne4K @Inocennts @OrbitXV @PIumzino @AX1G0D @prrpleyt_ @BxrakatR6 @iSe7en1 @wyaLeGe @j3naR6_ @aIiciaxi @Mergss Lord brimstone,2021-09-29 21:51:38,Brimstone,Controller
"@thornringg // theyre basically pastors/evangeslists that preach VIA tv, usually fire and brimstone or honkey dory evangelism. Also a lot of them are scam artists/cult leaders",2021-09-29 21:49:51,Brimstone,Controller
"""You have died again, so Orvov has lost......my bandos dhide body, brimstone boots, &amp; 500k worth of other items.""

Fuck. Forgot. https://t.co/Wos7mxFokM",2021-09-29 21:47:09,Brimstone,Controller
"And now I want brimstone in my garden, I want roses set on fire",2021-09-29 21:44:22,Brimstone,Controller
@FemaleSmiley666 Hmm a light musk along either brimstone and colone ? (That what I thought,2021-09-29 21:36:45,Brimstone,Controller
"@garytexasjess @mis_cue @C_Stroop The entire Baptist and Nazarene religions, hell, the entire evangelical religion- all teach via fear. The Bible even tell you to fear God and his ways. Evangelical is based on scaring ppl into conversion. Fire &amp; brimstone teaching are in every church.",2021-09-29 21:34:43,Brimstone,Controller
"#challengeawareness
QUESTION: How much does serving satan pay and where will you receive your wages?
ANSWER: IN THE LAKE BURNING WITH FIRE AND BRIMSTONE FOREVER AND EVER! BEWARE AND BE WARNED! SELAH!
(See: Revelation:20:10, Revelation:21:8)",2021-09-29 21:27:55,Brimstone,Controller
"The works you are doing in secret, your sinful lifestyle, iniquity and wickedness do NOT pay in Heaven, the evil works you are doing in secret will be paid to you in the LAKE BURNING WITH FIRE AND BRIMSTONE FOREVER AND EVER! SELAH!
(See: Revelation:20:10, Revelation:21:8)",2021-09-29 21:26:53,Brimstone,Controller
@The_KingLIVE I’m a Brimstone main 😎,2021-09-29 21:25:52,Brimstone,Controller
"tried some hair colour remover last night which, while not removing all the colour, has left me smelling of fire and brimstone which is extremely gender affirming",2021-09-29 21:17:21,Brimstone,Controller
Incubus + Brimstone fires  tears in all directions!,2021-09-29 21:16:35,Brimstone,Controller
does tech x and brimstone synergize in afterbirth+,2021-09-29 21:10:03,Brimstone,Controller
"@abbyohlheiser Meh I just read and it’s a newer one from the back up guy. No haw haw haws, no fire and brimstone. 2/10",2021-09-29 21:04:31,Brimstone,Controller
In Deltarune Chapter 3 there will be a Brimstone Route where you force Toriel to burn every enemy,2021-09-29 21:03:40,Brimstone,Controller
"Hell was not a pit of fire and brimstone, it was waking up alone, sheets stained with tears and love knowing they won't be back.",2021-09-29 20:46:42,Brimstone,Controller
"Mauna Kea is the volcanic Mtn that will fall into the sea, directly into the Mariana Trench as scripture speaks.Therefore making Mount Chimborazo the tallest activated volcano directly over the Sun spewing all over the world literal fire y brimstone. In Ecuador 1° fr the equator. https://t.co/xC57kBWpyE",2021-09-29 20:43:19,Brimstone,Controller
Taking Brimstone Bombs as Tainted Forgotten rerolls your damage!,2021-09-29 20:36:19,Brimstone,Controller
"should i try playing omen bc i have no feel or talent on sage, breach, sova, yoru, viper, sage, reyna, brimstone, skye, and cypher.",2021-09-29 20:33:29,Brimstone,Controller
"daiyui  
  
 and now i want brimstone in my garden 
 i want roses set on fire",2021-09-29 20:33:27,Brimstone,Controller
"@RudolvonStrohe9 @/CalamitousWitch 
An account that roleplays as Supreme Calamitas (Terraria Calamity Mod) and I only clicked on their account once to look at ‘em to see what Calamitas’ “new main appearance” was
Yeah nah sorry brimstone",2021-09-29 20:20:43,Brimstone,Controller
"@RevAlanFranks @Hedghog0 @jen_jstephen Reverend Alan, I think you should decide on the readings, but please don't go down the hell fire and brimstone route. It reminds me of Cold Comfort Farm. #TheArchers",2021-09-29 20:19:50,Brimstone,Controller
"@Keljuliet1 @MobilePunch Is IPOB made up of only Igbo men? Isn’t it supposed to be about Biafrans or has Biafra become an Igbo affair? In any case, those who are quick to threaten fire and brimstone must be held responsible when fire and brimstone rage",2021-09-29 20:12:33,Brimstone,Controller
"""Look in the eyes, White Lily.""

The man finally turned to face Hollyberry's friend with a silent gaze of brimstone and ash.

""She isn't here anymore."" + https://t.co/wVVQB8cQhM",2021-09-29 20:08:23,Brimstone,Controller
"@schleicherspin @ivyngeow @uusaint What a great honour! Reading Overboard as we speak, keen to read the other 2 as well. My favs of the last 18 months: 

Ringer &amp; Central Locking @davidtwilby 

The Carrion Sea @EVCComicsBooks 

Quicksilver &amp; Brimstone @RedElixier 

+ your Then Came Darkness &amp; And Then We Vanish",2021-09-29 20:03:02,Brimstone,Controller
@Jelbert_CSGO Sexy brimstone,2021-09-29 19:57:12,Brimstone,Controller
She tweeted brimstone mains are hot so now I'm a brimstone main sorry guys,2021-09-29 19:56:18,Brimstone,Controller
"@Scriptrix I don't wish to sound extreme, but words like ""fire"" and ""brimstone"" come to mind...",2021-09-29 19:55:25,Brimstone,Controller
@TevesTV it was really annoying and i was getting called fattie because i was playing brimstone and then when i talked i got called annoying :/,2021-09-29 19:49:19,Brimstone,Controller
"The number of tweets I've  made screenshots of ehn! 

It will rain fire and brimstone on this app come 10pm on Friday. Some of you will regret ever opening a Twitter account. 

I promise you!",2021-09-29 19:47:45,Brimstone,Controller
"@SMTDrifter Someone who is also rebelling against a particular parent. 

Use Mr. Me (eksees) to steal Brimstone from the devil and use diplopia to double it. 

Let's make some havoc. Fires a giant blood laser at the legions of hell.",2021-09-29 19:46:46,Brimstone,Controller
